match_id,radiant_win_lr_proba,radiant_win_gb_proba
6,0.82,0.63
10,0.2,0.32
13,0.86,0.85
16,0.25,0.27
19,0.53,0.45
24,0.57,0.55
33,0.24,0.17
41,0.16,0.29
42,0.33,0.55
55,0.23,0.32
60,0.7,0.6
62,0.56,0.7
63,0.61,0.42
64,0.09,0.33
71,0.53,0.5
72,0.33,0.34
83,0.51,0.36
85,0.79,0.67
89,0.92,0.76
92,0.74,0.68
100,0.96,0.89
102,0.88,0.88
108,0.58,0.59
111,0.81,0.79
126,0.18,0.26
130,0.05,0.14
140,0.8,0.75
141,0.27,0.5
152,0.83,0.78
153,0.75,0.48
159,0.57,0.62
160,0.59,0.47
178,0.61,0.45
179,0.38,0.78
181,0.68,0.63
206,0.11,0.16
216,0.58,0.52
228,0.07,0.26
230,0.44,0.49
242,0.74,0.76
245,0.19,0.17
261,0.5,0.43
282,0.75,0.63
289,0.52,0.56
297,0.63,0.57
302,0.32,0.32
313,0.81,0.74
316,0.48,0.6
317,0.4,0.56
344,0.89,0.52
348,0.76,0.69
352,0.52,0.56
354,0.55,0.44
361,0.45,0.47
362,0.22,0.43
363,0.75,0.73
365,0.39,0.57
375,0.32,0.61
380,0.33,0.52
384,0.54,0.56
394,0.79,0.65
399,0.59,0.44
404,0.7,0.83
406,0.65,0.64
430,0.17,0.38
432,0.32,0.39
443,0.46,0.51
463,0.64,0.53
467,0.56,0.65
474,0.19,0.3
488,0.22,0.36
502,0.91,0.86
503,0.28,0.19
507,0.3,0.31
508,0.39,0.25
509,0.45,0.38
516,0.34,0.44
542,0.62,0.71
547,0.17,0.23
552,0.57,0.74
555,0.62,0.6
561,0.61,0.74
569,0.81,0.73
575,0.96,0.89
576,0.82,0.8
582,0.2,0.14
585,0.48,0.52
586,0.56,0.57
592,0.24,0.27
598,0.38,0.24
599,0.25,0.28
600,0.73,0.65
601,0.57,0.37
603,0.31,0.37
617,0.48,0.69
634,0.16,0.32
635,0.31,0.2
639,0.39,0.39
644,0.68,0.84
646,0.74,0.47
650,0.09,0.14
659,0.85,0.79
663,0.38,0.61
670,0.4,0.34
678,0.43,0.54
679,0.28,0.23
686,0.76,0.75
694,0.29,0.34
696,0.91,0.84
702,0.89,0.72
709,0.35,0.35
712,0.35,0.4
729,0.44,0.33
733,0.76,0.87
735,0.4,0.34
737,0.35,0.33
749,0.68,0.49
752,0.49,0.64
767,0.92,0.78
778,0.5,0.48
780,0.75,0.74
790,0.51,0.29
797,0.37,0.36
802,0.32,0.42
805,0.71,0.64
807,0.75,0.82
808,0.86,0.6
811,0.33,0.37
815,0.13,0.37
820,0.75,0.59
838,0.16,0.21
861,0.16,0.12
886,0.21,0.28
889,0.11,0.27
904,0.62,0.36
913,0.48,0.73
931,0.6,0.46
932,0.65,0.36
945,0.76,0.58
953,0.86,0.65
955,0.33,0.52
970,0.55,0.43
972,0.43,0.38
978,0.59,0.63
982,0.81,0.66
983,0.74,0.7
987,0.54,0.44
1000,0.62,0.32
1006,0.62,0.61
1014,0.74,0.56
1037,0.74,0.66
1044,0.6,0.59
1046,0.81,0.66
1048,0.41,0.41
1053,0.86,0.72
1057,0.7,0.41
1077,0.88,0.79
1087,0.74,0.77
1088,0.75,0.64
1096,0.12,0.17
1098,0.96,0.9
1100,0.1,0.16
1113,0.72,0.79
1119,0.74,0.78
1127,0.53,0.47
1142,0.34,0.31
1148,0.35,0.32
1157,0.22,0.33
1158,0.78,0.55
1163,0.42,0.56
1167,0.67,0.49
1168,0.36,0.35
1181,0.06,0.18
1183,0.23,0.44
1191,0.57,0.61
1192,0.18,0.16
1198,0.78,0.78
1218,0.67,0.41
1221,0.96,0.86
1222,0.34,0.39
1225,0.15,0.23
1226,0.46,0.42
1242,0.74,0.69
1247,0.68,0.42
1259,0.64,0.65
1271,0.87,0.71
1282,0.55,0.42
1284,0.95,0.88
1293,0.42,0.63
1294,0.63,0.66
1298,0.43,0.62
1306,0.63,0.8
1316,0.74,0.57
1321,0.31,0.29
1331,0.46,0.53
1336,0.21,0.23
1341,0.57,0.33
1348,0.54,0.57
1356,0.87,0.86
1384,0.28,0.57
1391,0.64,0.7
1413,0.81,0.68
1419,0.62,0.65
1426,0.84,0.89
1440,0.7,0.44
1445,0.61,0.42
1465,0.42,0.49
1470,0.47,0.46
1484,0.57,0.57
1485,0.1,0.2
1486,0.9,0.86
1488,0.57,0.67
1498,0.04,0.1
1508,0.65,0.62
1518,0.85,0.78
1526,0.24,0.2
1527,0.77,0.81
1528,0.25,0.38
1546,0.48,0.57
1564,0.75,0.36
1565,0.89,0.84
1568,0.93,0.94
1572,0.65,0.52
1573,0.12,0.2
1581,0.42,0.4
1585,0.89,0.82
1588,0.27,0.31
1596,0.3,0.51
1603,0.32,0.51
1615,0.61,0.46
1623,0.25,0.41
1636,0.68,0.66
1642,0.23,0.36
1654,0.77,0.47
1657,0.89,0.8
1665,0.37,0.34
1666,0.82,0.86
1676,0.74,0.68
1678,0.54,0.57
1683,0.46,0.64
1685,0.07,0.14
1687,0.02,0.1
1690,0.23,0.37
1702,0.39,0.43
1714,0.32,0.67
1716,0.55,0.52
1748,0.31,0.64
1750,0.21,0.29
1762,0.95,0.93
1765,0.1,0.17
1767,0.55,0.57
1773,0.37,0.35
1774,0.17,0.36
1776,0.66,0.77
1782,0.83,0.68
1799,0.54,0.32
1803,0.49,0.23
1820,0.42,0.43
1823,0.77,0.61
1864,0.69,0.6
1871,0.48,0.63
1878,0.34,0.38
1888,0.66,0.64
1895,0.81,0.81
1896,0.49,0.36
1899,0.58,0.5
1901,0.63,0.45
1903,0.64,0.69
1913,0.17,0.23
1935,0.77,0.74
1946,0.24,0.26
1958,0.8,0.57
1960,0.55,0.6
1968,0.32,0.6
1969,0.59,0.7
1973,0.26,0.31
1974,0.52,0.57
1977,0.41,0.41
1992,0.66,0.48
1995,0.2,0.43
2001,0.76,0.64
2017,0.48,0.23
2018,0.24,0.32
2020,0.37,0.26
2036,0.57,0.55
2040,0.18,0.21
2041,0.16,0.28
2047,0.91,0.92
2049,0.32,0.43
2059,0.29,0.47
2066,0.27,0.29
2068,0.5,0.44
2069,0.74,0.45
2081,0.41,0.47
2083,0.57,0.56
2084,0.89,0.75
2085,0.94,0.76
2096,0.46,0.54
2104,0.19,0.22
2110,0.36,0.62
2112,0.09,0.27
2115,0.5,0.36
2120,0.15,0.33
2121,0.13,0.13
2125,0.87,0.88
2128,0.64,0.48
2138,0.57,0.58
2159,0.73,0.7
2160,0.24,0.3
2180,0.68,0.79
2181,0.59,0.49
2183,0.75,0.7
2189,0.16,0.36
2192,0.47,0.43
2193,0.91,0.87
2197,0.13,0.27
2201,0.43,0.48
2206,0.86,0.72
2208,0.81,0.67
2210,0.69,0.69
2220,0.57,0.38
2226,0.5,0.56
2227,0.06,0.15
2229,0.38,0.43
2233,0.21,0.55
2234,0.89,0.7
2237,0.32,0.28
2238,0.59,0.49
2246,0.37,0.44
2265,0.35,0.4
2268,0.4,0.42
2270,0.69,0.75
2276,0.83,0.77
2278,0.85,0.67
2290,0.55,0.64
